CISCO1;CISCO1;CISCO1;CISCO1;IPTEMPLATE_SN_IPExtension:8000000001;Mitel;Kanata;CISCO1;Mitel1@123456;CISCO11@gmail.com
CISCO2;CISCO2;CISCO2;CISCO2;IPTEMPLATE_SN_IPExtension:8000000002;Mitel;Kanata;CISCO2;Mitel1@123456;CISCO22@gmail.com
CISCO3;CISCO3;CISCO3;CISCO3;IPTEMPLATE_SN_IPExtension:8000000003;Mitel;Kanata;CISCO3;Mitel1@123456;CISCO33@gmail.com
CISCO4;CISCO4;CISCO4;CISCO4;IPTEMPLATE_SN_IPExtension:8000000004;Mitel;Kanata;CISCO4;Mitel1@123456;CISCO44@gmail.com
CISCO5;CISCO5;CISCO5;CISCO5;IPTEMPLATE_SN_IPExtension:8000000005;Mitel;Kanata;CISCO5;Mitel1@123456;CISCO55@gmail.com
CISCO6;CISCO6;CISCO6;CISCO6;IPTEMPLATE_SN_IPExtension:8000000006;Mitel;Kanata;CISCO6;Mitel1@123456;CISCO66@gmail.com
CISCO7;CISCO7;CISCO7;CISCO7;IPTEMPLATE_SN_IPExtension:8000000007;Mitel;Kanata;CISCO7;Mitel1@123456;CISCO77@gmail.com
CISCO8;CISCO8;CISCO8;CISCO8;IPTEMPLATE_SN_IPExtension:8000000008;Mitel;Kanata;CISCO8;Mitel1@123456;CISCO88@gmail.com
CISCO9;CISCO9;CISCO9;CISCO9;IPTEMPLATE_SN_IPExtension:8000000009;Mitel;Kanata;CISCO9;Mitel1@123456;CISCO99@gmail.com
CISCO10;CISCO10;CISCO10;CISCO10;IPTEMPLATE_SN_IPExtension:8000000010;Mitel;Kanata;CISCO10;Mitel1@123456;CISCO1010@gmail.com
CISCO11;CISCO11;CISCO11;CISCO11;IPTEMPLATE_SN_IPExtension:8000000011;Mitel;Kanata;CISCO11;Mitel1@123456;CISCO1111@gmail.com
CISCO12;CISCO12;CISCO12;CISCO12;IPTEMPLATE_SN_IPExtension:8000000012;Mitel;Kanata;CISCO12;Mitel1@123456;CISCO1212@gmail.com
CISCO13;CISCO13;CISCO13;CISCO13;IPTEMPLATE_SN_IPExtension:8000000013;Mitel;Kanata;CISCO13;Mitel1@123456;CISCO1313@gmail.com
CISCO14;CISCO14;CISCO14;CISCO14;IPTEMPLATE_SN_IPExtension:8000000014;Mitel;Kanata;CISCO14;Mitel1@123456;CISCO1414@gmail.com
CISCO15;CISCO15;CISCO15;CISCO15;IPTEMPLATE_SN_IPExtension:8000000015;Mitel;Kanata;CISCO15;Mitel1@123456;CISCO1515@gmail.com
CISCO16;CISCO16;CISCO16;CISCO16;IPTEMPLATE_SN_IPExtension:8000000016;Mitel;Kanata;CISCO16;Mitel1@123456;CISCO1616@gmail.com
CISCO17;CISCO17;CISCO17;CISCO17;IPTEMPLATE_SN_IPExtension:8000000017;Mitel;Kanata;CISCO17;Mitel1@123456;CISCO1717@gmail.com
CISCO18;CISCO18;CISCO18;CISCO18;IPTEMPLATE_SN_IPExtension:8000000018;Mitel;Kanata;CISCO18;Mitel1@123456;CISCO1818@gmail.com
CISCO19;CISCO19;CISCO19;CISCO19;IPTEMPLATE_SN_IPExtension:8000000019;Mitel;Kanata;CISCO19;Mitel1@123456;CISCO1919@gmail.com
CISCO20;CISCO20;CISCO20;CISCO20;IPTEMPLATE_SN_IPExtension:8000000020;Mitel;Kanata;CISCO20;Mitel1@123456;CISCO2020@gmail.com
CISCO21;CISCO21;CISCO21;CISCO21;IPTEMPLATE_SN_IPExtension:8000000021;Mitel;Kanata;CISCO21;Mitel1@123456;CISCO2121@gmail.com
CISCO22;CISCO22;CISCO22;CISCO22;IPTEMPLATE_SN_IPExtension:8000000022;Mitel;Kanata;CISCO22;Mitel1@123456;CISCO2222@gmail.com
CISCO23;CISCO23;CISCO23;CISCO23;IPTEMPLATE_SN_IPExtension:8000000023;Mitel;Kanata;CISCO23;Mitel1@123456;CISCO2323@gmail.com
CISCO24;CISCO24;CISCO24;CISCO24;IPTEMPLATE_SN_IPExtension:8000000024;Mitel;Kanata;CISCO24;Mitel1@123456;CISCO2424@gmail.com
CISCO25;CISCO25;CISCO25;CISCO25;IPTEMPLATE_SN_IPExtension:8000000025;Mitel;Kanata;CISCO25;Mitel1@123456;CISCO2525@gmail.com
